neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
2,1,3,3,302,450
21,0,4,1,0,65
1,0,1,1,0,115
7,1,2,1,0,125
2,1,7,1,27,140
6,0,1,2,0,45
21,0,1,1,0,85
28,1,5,1,0,140
43,1,2,1,0,195
12,0,1,1,0,65
21,1,2,1,291,105
30,0,2,1,318,85
8,1,2,1,0,200
1,0,2,2,0,100
49,0,2,1,89,70
196,0,1,1,363,55
12,0,5,1,35,65
16,0,7,2,0,40
15,1,5,1,220,250
7,0,2,3,239,130
2,0,1,1,0,70
5,1,5,2,50,365
21,0,1,1,0,85
15,1,28,2,336,155
12,0,2,1,86,85
159,1,1,1,90,425
7,1,30,2,115,141
3,1,2,6,199,248
2,0,23,2,35,54
8,1,4,1,0,174
48,1,1,33,179,225
11,1,2,1,0,179
7,1,3,2,4,168
7,0,2,1,0,350
6,1,5,1,0,80
8,1,3,1,0,200
6,1,4,1,191,113
26,1,3,1,47,195
12,1,5,1,365,350
21,0,1,1,340,49
28,1,1,1,168,300
23,0,1,1,0,70
45,0,6,3,90,67
18,0,1,1,365,60
38,1,2,1,10,250
33,1,7,1,0,100
2,1,30,1,7,135
30,1,1,1,0,112
18,1,7,1,249,90
14,1,90,1,177,249
11,1,2,1,66,200
21,0,3,2,305,65
12,0,5,1,0,55
21,0,5,1,64,65
12,1,30,1,152,122
22,1,1,1,21,90
138,1,3,1,52,99
15,1,2,1,0,55
2,1,2,1,123,132
21,1,2,1,25,89
56,0,2,1,24,50
2,0,1,1,92,85
20,0,3,1,0,69
23,1,1,1,0,228
23,1,14,1,0,80
8,1,1,1,0,1500
12,0,1,1,0,55
29,1,4,1,21,200
15,0,4,1,0,44
121,0,1,6,256,35
39,1,2,1,0,78
6,0,5,1,0,60
21,1,2,1,365,125
2,1,30,1,239,195
96,1,3,1,13,250
12,0,1,2,0,200
48,1,2,1,0,255
26,0,1,2,3,70
20,1,3,1,0,59
53,1,30,91,347,165
30,0,7,1,76,49
8,0,4,1,0,165
21,0,3,1,0,50
25,0,1,1,326,60
26,0,30,1,83,40
11,0,3,1,0,108
54,0,2,1,304,50
54,0,2,2,336,54
8,1,5,1,125,400
19,1,2,1,312,170
21,1,1,1,0,99
6,0,2,1,0,35
7,1,2,1,0,450
6,0,7,3,243,50
7,1,30,12,343,225
8,0,14,1,176,93
19,1,4,1,8,150
19,1,3,1,0,200
178,1,1,1,170,110
